appId,id,s,dataset_id,v1,v2,v3,v4,w0,w1,w2,w3,w4,y,ye_g,ye_s,ye_i,ye_l,RE(ye_g),RE(ye_s),RE(ye_i),RE(ye_l)
housingprice-kingcounty,1,0,51,1.75,1.52,6,66,396.4373629,-2.183268469,-17.56131622,-7.093768379,0.188961776,336.090022,289.4008887,314.0750183,296.1692935,335.8323094,2.739972613,1.291960309,2.342765757,0.01512398
housingprice-kingcounty,2,0,213,2.5,2.23,7,11,442.5747978,-0.54465872,2.604655095,-3.453251465,-2.300932383,394.9443052,362.2502766,355.4172954,347.9417178,397.5385154,1.918663649,2.319660198,2.758367807,0.152242382
housingprice-kingcounty,3,0,231,2.5,1.66,8,27,470.0762824,0.561457353,-15.90716439,2.427713763,-0.259900021,437.932053,470.5872707,479.9194828,480.1316917,457.4784424,1.916386014,2.464051041,2.476504619,1.147088582
housingprice-kingcounty,4,0,239,1,1.33,6,112,438.8803061,-34.27187069,-11.91179241,-6.141563316,0.379122671,411.6449523,405.5988381,404.0009518,402.2195238,394.3781108,0.354818907,0.448591577,0.553135478,1.013312295
housingprice-kingcounty,5,0,410,2.25,1.62,7,28,405.9166739,0.189299052,-14.73688928,-3.018210166,-0.316000393,333.1164233,323.1297272,355.1074475,336.5936942,352.493354,0.586073714,1.290553064,0.204065193,1.137143819
housingprice-kingcounty,6,0,438,3,1.49,7,22,390.3707271,-0.102706337,-18.97586732,-2.711451878,0.056135677,328.3778706,295.5185486,343.9840316,324.6887679,344.0433875,1.928363969,0.915854519,0.216496636,0.919337848
housingprice-kingcounty,7,0,446,3.25,2.29,9,8,470.0152524,20.0567734,3.4777529,15.00408339,2.881396725,687.6067789,654.9670351,605.2757787,636.3770099,701.2517444,1.915477925,4.83163147,3.006441843,0.800760886
housingprice-kingcounty,8,0,485,1.75,1.76,8,56,546.2099058,-0.933007676,-23.8791824,4.720856069,0.567266053,539.9928707,572.6817634,546.0472788,560.7869299,572.0835289,1.918362247,0.355305637,1.22030864,1.883254586
housingprice-kingcounty,9,0,530,2,1.55,7,51,415.3447291,0.922336353,-25.76499569,-2.824867228,0.206389201,369.2276824,387.1998004,403.6273558,395.1769217,368.0054371,1.054701758,2.018760174,1.522842684,0.07172801
housingprice-kingcounty,10,0,671,1.5,1.46,7,52,436.112548,-6.795516721,-22.75863342,-4.320497123,0.220202307,335.6112175,368.2821966,392.5025928,377.0065574,373.8987082,1.91731098,3.338695734,2.429303985,2.246918471
